,age,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,gender_code,region_category_code,membership_category_code,year,joined_through_referral_code,preferred_offer_types_code,medium_of_operation_code,internet_option_code,used_special_discount_code,offer_application_preference_code,past_complaint_code,complaint_status_code,feedback_code
11128,26,16,349.42,45392.09,384.9378798881458,1,0,3,6,1,1,1,1,0,1,1,2,1
11129,31,12,114.6,29550.11,634.48,0,1,2,4,1,1,3,2,0,1,0,1,7
11130,13,9,391.08,42025.92,1108.0634845890706,1,1,2,4,1,2,2,2,1,0,0,1,0
11132,38,19,121.96,87080.63,785.1,1,2,3,5,1,2,2,2,0,1,0,1,6
11136,19,11,466.0,71677.31,759.815,1,1,5,5,2,0,2,1,1,0,0,1,6
11137,22,12,81.5,32324.96,762.38,0,0,1,5,1,1,0,0,0,1,0,1,3
11138,17,23,139.43,33911.86,795.64,0,0,5,6,2,0,3,2,0,1,0,1,1
11139,61,13,75.22,48966.37,748.2149999999999,0,1,1,5,1,1,2,0,1,0,1,4,3
11140,22,20,35.06,36672.54,700.79,0,0,5,6,2,1,2,1,0,1,0,1,3
11141,54,19,304.23,4266.67,743.18,1,1,1,6,2,1,3,1,1,1,1,2,0
11142,30,5,30.65,5856.59,689.31,0,1,2,4,1,1,0,0,1,0,0,1,2
11143,55,12,492.8,25863.15,576.43,0,1,0,6,1,0,2,1,0,1,1,4,0
11144,48,12,135.37,91369.6,799.11,1,2,3,4,2,1,2,1,0,1,1,4,5
11146,60,14,1680.16,64488.64,754.13,0,1,3,6,2,2,1,2,1,0,1,0,4
11147,34,11,1150.1650942926378,44225.08,621.17,0,0,0,5,1,2,3,1,0,1,1,2,3
11149,41,8,63.95,43536.73,528.6931877194922,1,1,2,4,2,2,2,0,1,0,1,2,1
11150,61,8,57.8,15435.2,288.59637543898447,1,0,0,4,2,1,3,2,1,0,1,0,7
11151,46,13,1419.3,41046.5,736.09,0,1,5,5,2,2,0,1,1,1,1,3,7
11152,13,15,681.95,47232.33,901.779645494114,1,1,0,4,2,2,2,0,1,1,0,1,7
11153,20,17,71.66,35383.03,667.65,0,1,5,6,2,0,2,1,1,0,1,3,7
11155,59,10,182.14,25624.61,697.39,0,1,2,4,2,1,2,1,0,1,1,3,7
11156,59,14,37.29,30411.08,689.74,1,0,1,4,1,2,2,1,0,1,0,1,7
11157,62,14,41.32,38785.99,605.9142008945969,0,0,1,5,2,1,3,1,1,0,0,1,0
11158,14,13,59.1,29674.44,522.0884017891938,0,1,3,4,1,1,0,2,1,0,1,2,3
11160,17,20,52.57,83987.62,814.8,1,2,4,5,1,0,2,2,0,1,1,2,5
11161,41,23,36.24,24832.18,604.92,0,1,0,5,2,1,3,2,0,1,0,1,2
11162,42,10,551.79,28573.36,746.64,0,2,4,6,2,2,2,1,1,0,0,1,3
11163,54,19,59.01,41117.19,1169.644567482498,0,0,1,4,0,2,3,2,0,1,0,1,7
11164,43,14,90.9,42660.21,788.45,0,1,3,5,2,1,3,2,1,0,0,1,6
11165,48,17,213.86,43641.43,533.93,1,1,2,6,2,0,3,2,1,0,0,1,3
11166,35,15,985.0,50362.24,709.91,0,0,5,4,2,2,3,0,1,0,0,1,6
11167,31,13,132.82,18736.38,714.26,1,1,5,6,2,2,2,2,1,0,0,1,1
11168,17,6,305.83,32639.95,721.3,1,2,5,4,2,1,3,0,1,0,0,1,6
11169,12,5,356.69,44332.6,728.34,0,1,5,5,0,0,2,0,1,0,0,1,2
11170,40,20,494.7,41975.21,366.62017395522753,1,0,2,5,2,0,3,0,0,1,1,4,3
11171,55,18,147.12,26287.02,715.42,0,1,1,5,1,2,2,2,1,0,1,3,3
11172,42,21,1266.218464592393,34819.72,679.45,0,2,5,4,2,2,0,0,0,1,0,1,3
11173,50,7,996.488772576496,55957.63,760.52,0,0,4,6,1,0,2,0,0,1,0,1,8
11174,42,10,45.24,5009.94,736.535,1,1,1,4,0,2,3,2,0,1,0,1,3
11175,32,13,796.1,4604.46,712.55,0,1,3,5,0,0,3,2,1,0,0,1,3
11177,43,11,514.87,25127.88,549.79,0,1,0,5,0,1,2,2,0,1,1,3,7
11178,51,50,626.94,23450.37,730.11,0,1,1,5,2,2,2,1,1,0,0,1,0
11179,15,14,181.81,16539.02,741.19,1,0,3,5,0,0,3,2,0,1,0,1,0
11181,21,4,185.08,40096.11,684.86,0,0,0,5,2,0,3,2,1,0,0,1,3
11182,18,5,-877.5928035388843,6094.31,714.25,1,2,1,4,1,2,3,1,0,1,0,1,0
11183,48,18,303.86,61716.25,743.64,0,2,3,4,1,2,3,0,1,1,1,2,6
11184,35,4,232.41,28089.8,656.62,0,0,5,4,2,2,2,1,1,0,0,1,7
11185,49,7,402.18,40085.01,707.2,1,0,0,5,2,0,1,0,1,0,1,4,7
11186,13,21,161.16,42507.64,513.28,0,2,2,6,2,0,0,0,0,1,1,3,2
11188,45,21,177.74,41935.78,744.27,0,0,3,6,0,0,3,2,0,1,0,1,1
11189,31,50,732.25,16031.28,681.78,0,1,2,6,0,0,1,2,0,1,1,2,0
11190,48,6,595.94,36704.41,681.0,0,0,2,4,2,0,1,1,0,1,1,0,1
11191,62,17,243.63,21873.99,666.06,1,1,2,6,1,1,3,2,0,1,1,3,0
11192,47,2,137.53,44239.78,596.52,0,1,0,4,2,1,3,2,0,1,0,1,1
11194,40,13,105.06,17542.87,1152.1947357126835,0,2,5,4,1,0,3,2,1,0,1,0,0
11195,62,15,99.67,45724.45,611.1,1,1,2,4,1,0,3,2,0,1,0,1,1
11196,41,2,225.05,6199.59,683.98,0,2,2,6,0,1,3,2,1,0,0,1,7
11197,25,12,86.26,26316.58,666.46,1,1,0,4,1,0,2,0,1,0,0,1,2
11198,50,15,398.32,36227.55,511.52,1,0,2,6,1,0,0,0,0,1,0,1,3
11199,16,5,75.82,30879.18,702.73,1,0,5,4,2,0,3,0,0,1,1,3,1
11200,45,16,152.31,18666.39,566.82,1,1,0,6,1,1,3,1,0,1,1,2,7
11201,38,19,368.99,47081.61,609.68,1,2,5,6,1,1,2,1,1,1,0,1,7
11202,60,2,270.83,3135.7,706.37,1,1,5,4,1,1,3,1,1,0,0,1,2
11203,27,14,31.34,32766.83,645.77,0,0,1,6,1,1,3,1,0,1,1,2,2
11204,11,50,619.41,24794.72,749.45,0,0,3,6,2,2,1,0,0,1,1,0,2
11207,42,5,502.94,47301.17,792.17,1,0,5,4,2,0,1,0,0,1,1,4,3
11208,21,11,78.83,10484.47,775.91,1,0,5,6,1,2,2,2,0,1,0,1,7
11209,12,50,-458.8277091937571,62408.64,773.07,0,2,1,6,1,0,3,1,1,0,0,1,8
11210,35,24,49.64,45525.65,674.66,1,2,0,5,2,1,3,2,0,1,0,1,7
11212,48,19,71.4,6345.94,715.255,0,1,4,4,1,1,3,0,1,0,0,1,2
11213,18,14,56.8,24662.96,698.93,1,1,0,4,2,1,0,2,0,1,1,0,0
11214,63,13,400.15,43265.4,675.11,0,0,2,4,1,2,0,2,0,1,0,1,3
11215,27,4,267.95,42223.29,730.25,1,0,1,5,1,0,2,0,0,1,0,1,5
11216,27,18,263.53,62192.59,798.26,0,2,3,6,2,0,2,2,0,1,1,4,5
11217,12,5,197.64,89212.84,814.12,1,2,5,5,2,2,2,0,1,0,0,1,8
11219,37,50,89.41,19371.31,725.78,0,0,5,5,1,2,2,0,0,1,1,4,2
11220,64,8,231.76,49837.58,722.86,0,2,5,4,1,2,2,0,1,0,0,1,1
11222,23,9,768.0,37977.41,539.4358135302143,1,1,0,5,2,2,0,1,1,1,0,1,3
11223,32,19,42.2,37891.74,536.55,0,2,2,4,2,2,2,0,0,1,1,0,7
11224,63,13,245.03,13767.34,609.02,0,2,5,6,1,0,2,0,0,1,1,0,7
11226,34,23,186.02,19011.81,557.78,0,1,2,5,0,0,3,0,1,0,1,2,2
11227,58,16,72.61,3864.1,1194.5447252182437,1,0,1,4,1,2,2,2,1,0,1,4,6
11229,60,50,508.42,16256.26,697.78,1,0,1,4,2,2,2,2,0,1,1,4,2
11230,56,5,36.39,36272.41,544.19,0,2,0,4,1,0,3,0,0,1,1,0,2
11231,52,50,176.77,14969.84,541.62,0,1,0,4,2,1,3,0,0,1,0,1,0
11232,54,13,33.55,18638.75,771.75,0,0,5,6,1,2,3,0,1,0,0,1,2
11234,45,10,158.11,36732.11,570.43,1,1,2,4,2,2,2,2,1,0,0,1,0
11235,61,15,355.16,3097.79,736.95,0,0,4,6,1,1,0,1,1,1,1,2,0
11236,58,11,200.31,30880.34,691.22,0,1,2,4,0,2,0,0,1,0,0,1,7
11237,32,23,179.35,18123.27,1044.0335974791635,1,0,0,4,1,1,2,1,0,1,1,0,7
11239,47,18,496.39,37584.52,722.97,0,0,5,5,1,0,3,0,0,1,0,1,3
11241,21,20,368.91,18709.09,526.05,1,0,2,5,1,0,2,0,1,0,0,1,3
11243,63,13,136.77,34340.23,1006.6693479718602,1,0,1,4,1,1,0,2,0,1,1,4,7
11244,63,9,261.66,7210.57,686.09,1,0,1,4,1,2,2,2,1,0,0,1,3
11245,28,15,31.37,26025.63,949.29385022961,1,1,0,5,1,1,3,0,0,1,1,2,3
11247,59,16,617.63,26176.19,680.85,0,0,1,4,2,1,3,2,1,1,1,2,3
11249,58,50,99.77,19078.07,541.87,1,2,2,5,1,2,0,2,0,1,1,3,7
11250,35,11,157.32,30382.52,564.8,0,1,2,6,1,1,3,1,1,0,0,1,7
11252,23,5,269.6,22779.94,636.43,1,1,2,4,1,1,1,2,0,1,0,1,2
11253,18,5,190.66,17012.74,729.24,1,0,5,4,1,1,2,1,1,0,0,1,4
11254,34,5,164.57,19284.33,809.5853210782848,0,0,0,4,2,0,3,2,0,1,0,1,7
11256,46,13,-930.006220275363,13332.77,781.5,0,0,4,6,0,1,0,0,0,1,1,3,0
11257,36,17,33.24,8830.3,177.1264294065611,0,0,5,6,2,1,2,0,1,0,0,1,1
11258,39,24,31.46,44567.11,660.23,0,0,2,6,2,2,2,2,0,1,1,3,2
11259,60,16,33.68,16460.94,780.78,1,0,4,5,1,2,3,0,0,1,0,1,3
11260,20,11,344.57,30683.56,655.02,1,0,2,5,1,0,2,0,1,0,1,2,2
11261,47,11,203.3,32719.84,641.01,1,0,0,6,2,1,1,2,1,0,1,0,7
11262,50,10,565.14,99694.82,654.235,0,1,4,6,2,1,2,0,1,0,0,1,5
11266,27,12,120.77,46214.04,648.63,1,1,2,5,2,2,2,2,0,1,1,3,2
11267,19,6,1604.83845230035,20110.89,268.90654587567366,1,1,0,6,2,0,3,0,1,1,1,2,0
11268,20,13,178.52,38300.21,224.05180420620215,1,1,0,6,2,1,3,0,1,0,0,1,7
11269,47,16,228.19,46018.52,373.7178694708014,1,0,2,4,1,1,2,2,0,1,1,3,2
11270,32,10,518.87,46160.3,523.3839347354007,0,1,5,6,2,0,2,0,0,1,1,2,7
11272,16,16,131.64,9682.61,626.41,0,1,0,6,0,1,3,1,0,1,1,3,3
11273,47,15,1051.7472716519164,11287.45,656.12,1,2,2,4,1,2,3,0,1,0,1,2,7
11274,41,12,70.83,59204.72,798.31,1,0,1,4,1,2,3,2,0,1,0,1,5
11275,42,7,413.65,15399.11,709.395,1,0,0,5,1,1,2,1,0,1,1,4,1
11276,35,8,194.53,21407.75,620.48,1,1,0,6,2,0,3,2,0,1,1,2,2
11277,32,9,36.49,4845.92,1166.265382750425,1,0,5,6,2,1,2,1,1,0,0,1,2
11278,19,15,201.05,99662.86,837.36,0,1,3,5,1,0,2,0,1,0,1,0,4
11279,37,12,121.9,11124.08,673.14,1,0,2,4,0,2,3,2,0,1,0,1,7
11280,52,50,31.65,16206.3,580.18,1,1,2,6,0,1,2,1,1,0,0,1,7
11282,54,25,220.43,30273.12,606.03,0,1,0,5,1,2,2,1,1,1,0,1,3
11283,28,9,134.53,42594.77,747.7,1,2,5,6,1,0,3,0,1,0,0,1,3
11284,24,14,1429.8220399254333,48452.79,725.54,0,0,5,5,1,2,0,0,1,0,0,1,2
11285,11,9,73.35,37123.71,505.46,1,1,2,4,0,1,3,2,1,0,1,0,0
11287,49,50,36.8,44401.21,669.66,0,1,0,4,0,1,2,2,0,1,1,4,3
11288,50,7,685.66,10152.41,961.5148630308308,0,1,2,6,2,1,1,1,1,0,1,0,7
11289,54,17,34.36,98123.61,787.66,1,1,3,4,2,1,2,1,1,0,0,1,5
11290,11,17,32.81,11423.85,593.53,1,0,2,5,0,0,2,2,1,0,1,2,3
11291,15,17,44.12,18437.57,730.27,1,1,5,5,1,2,3,0,0,1,0,1,2
11292,12,13,285.13,28529.21,653.86,0,0,0,4,2,1,3,1,1,0,0,1,7
11293,54,17,394.39,30014.56,728.84,1,1,5,4,1,1,2,1,1,1,0,1,7
11294,42,7,299.77,26899.54,796.98,0,0,3,5,0,2,3,2,1,1,1,4,1
11295,58,7,337.9,43499.42,701.28,1,0,0,6,1,2,3,2,0,1,1,0,7
11296,15,5,34.91,13105.84,601.01,0,1,5,4,2,0,3,0,0,1,0,1,7
11297,19,22,433.92,29515.54,607.2049999999999,0,2,2,6,1,1,3,0,0,1,1,0,1
11299,45,12,189.42,17157.82,768.99,0,0,1,5,1,2,2,2,1,0,0,1,3
11300,41,14,-935.5996048468326,38969.14,686.74,0,1,0,4,2,1,3,2,1,0,0,1,3
11301,19,6,92.22,15471.59,723.1,0,1,1,6,2,1,3,2,0,1,1,3,3
11303,36,11,225.08,11801.41,521.78,0,1,2,5,1,1,1,0,0,1,1,0,1
11305,29,6,396.96,99342.36,773.55,0,0,3,4,0,0,3,1,1,0,1,0,4
11306,15,19,48.95,8289.94,757.44,0,0,5,6,2,1,3,1,0,1,1,0,3
11308,28,14,248.35,2124.5,778.94,1,1,4,6,2,0,2,1,0,1,1,4,2
11309,37,5,85.33,80259.86,790.78,0,1,3,4,2,0,2,2,0,1,0,1,8
11310,64,2,673.79,42654.4,770.86,0,0,4,4,2,2,1,0,1,1,1,0,8
11311,38,12,959.31,9356.33,665.68,1,1,1,5,2,0,2,1,1,0,0,1,7
11312,33,12,112.76,31326.18,1097.501361693035,0,0,1,4,2,0,3,0,1,0,0,1,3
11313,59,50,209.93,3137.43,653.52,0,0,0,6,1,2,2,0,1,1,0,1,1
11314,37,12,333.6,24631.88,471.7320802875938,1,1,0,6,2,2,3,2,1,0,0,1,1
11315,57,13,139.07,5283.38,289.9441605751876,0,2,2,5,0,2,0,2,1,0,0,1,3
11316,63,14,58.38,27471.68,695.57,1,1,0,4,2,0,3,0,1,0,1,3,0
11317,15,13,66.49,44991.07,681.59,0,1,2,4,1,0,2,1,0,1,1,2,2
11318,54,15,30.42,49030.56,736.76,1,2,1,5,1,1,3,0,1,0,1,4,7
11319,47,12,198.37,23917.85,737.735,0,2,0,4,1,2,2,2,0,1,1,4,0
11320,12,20,117.08,10740.4,738.71,1,1,1,5,1,1,3,1,0,1,1,3,5
11321,38,9,174.78,24891.48,375.2938913054872,0,0,1,6,1,1,3,2,0,1,1,0,1
11322,11,16,488.97,47710.88,619.8,0,0,1,4,2,0,1,0,0,1,1,3,3
11323,34,4,228.7,41837.82,251.3135840173284,0,1,4,4,2,0,0,2,1,0,1,3,2
11324,57,12,34.91,47536.49,413.6443911617584,0,1,4,5,2,1,2,0,1,0,0,1,1
11325,48,15,94.48,18740.26,741.93,1,0,3,5,0,2,2,0,1,0,0,1,2
11326,38,50,62.71,49594.85,739.68,1,0,3,6,1,0,2,0,0,1,0,1,0
11327,59,11,33.05,35055.84,344.0097814760257,0,1,5,4,1,0,2,0,0,1,1,3,1
11328,56,3,321.15,8487.56,630.27,0,0,2,5,0,0,2,1,1,1,1,2,0
11329,21,23,32.7,14071.9,661.45,0,0,2,5,1,0,3,1,0,1,1,0,3
11330,28,20,186.97,27230.66,659.7650000000001,1,0,2,5,2,0,3,0,0,1,0,1,1
11332,46,16,210.5,23838.97,764.97,1,1,4,5,0,1,3,0,1,1,0,1,4
11333,36,15,817.69,40393.86,699.24,0,1,5,6,2,1,3,1,1,0,1,3,0
11334,38,11,63.92,45124.03,624.66,0,2,5,6,2,1,3,0,0,1,0,1,3
11335,25,18,677.27,50951.93,730.44,0,1,4,4,2,0,2,2,0,1,0,1,6
11336,22,22,35.28,1317.35,603.53,0,0,0,4,2,2,2,2,0,1,1,0,7
11337,31,11,43.09,19209.67,611.5,1,0,2,4,2,0,2,0,1,0,1,3,2
11339,11,15,33.33,20963.55,767.82,0,0,3,4,1,0,3,2,0,1,0,1,2
11340,21,9,43.84,17267.56,710.82,0,0,1,6,1,0,0,0,0,1,0,1,7
11341,41,5,37.33,47379.42,765.4,0,1,3,6,2,2,2,1,0,1,1,0,0
11342,28,14,291.18,14737.51,680.04,0,1,2,4,2,0,3,0,1,0,1,0,2
11343,63,7,895.1374532230301,44637.18,611.46,0,1,1,6,1,0,0,0,1,0,0,1,2
11344,32,3,-817.2711957044936,38656.35,487.9106111968756,0,1,3,4,0,0,3,2,0,1,1,2,1
11345,40,23,519.53,20263.51,761.0687699169454,0,0,0,5,2,1,2,1,1,1,1,3,1
11346,11,10,274.08,25305.84,1034.2269286370151,0,2,1,4,1,0,2,2,1,1,1,3,3
11347,16,3,226.99,28426.3,719.67,1,0,1,5,1,1,2,2,1,1,1,4,0
11348,36,12,-895.8809239368394,8002.79,1577.4957348384737,1,1,0,5,2,2,3,0,0,1,0,1,0
11349,30,16,58.9,38478.65,709.29,1,1,5,5,2,2,2,0,1,0,0,1,0
11350,63,16,455.32,49789.54,807.33,0,0,1,5,1,2,1,1,0,1,0,1,4
11351,63,19,34.37,19600.12,1018.5798782712292,1,0,0,6,0,0,2,1,1,0,1,0,1
11352,17,22,332.79,12153.31,712.15,0,0,1,6,2,1,1,1,1,0,0,1,1
11353,36,17,266.86,18770.5,944.1306710187528,1,1,1,6,1,0,2,0,0,1,0,1,1
11354,29,19,444.1,17671.05,1176.1113420375054,0,1,4,6,2,2,0,2,0,1,0,1,7
11355,16,50,31.84,96699.63,712.0,1,2,5,6,1,2,0,2,0,1,1,4,5
11356,23,6,37.42,7565.97,1130.4116260794367,0,2,0,4,2,1,2,0,1,0,0,1,2
11358,64,13,203.61,12963.35,598.78,0,2,0,6,2,0,0,2,0,1,0,1,1
11359,35,13,167.36,37036.84,243.6608619292732,1,0,4,4,2,1,2,2,0,1,0,1,0
11360,43,16,222.87,45707.89,707.72,0,0,2,6,1,2,2,1,1,0,0,1,2
11361,46,6,883.64,35069.02,615.43,0,0,2,6,2,0,0,1,1,0,1,3,0
11362,31,5,113.63,7753.31,720.79,1,0,4,4,2,0,2,0,0,1,0,1,3
11365,34,7,1642.928394934075,37820.18,1165.655592087034,0,0,2,4,2,2,1,1,1,0,0,1,3
11366,18,20,277.1,17078.15,703.6,1,0,3,4,2,0,1,2,1,0,0,1,3
11368,39,16,92.12,2566.46,708.42,1,0,2,4,2,2,0,0,0,1,1,0,3
11369,49,8,-877.8236224755617,11590.81,620.65,0,0,0,6,2,0,2,2,1,0,1,2,7
11371,64,7,360.78,13307.92,950.349842760118,0,0,0,5,2,0,0,1,1,0,1,2,3
11372,35,10,32.42,80263.81,964.2530572421122,1,1,4,5,1,1,3,1,1,0,1,0,5
11373,56,16,297.97,26655.85,978.1562717241064,0,1,0,6,1,2,2,0,1,0,1,2,0
11374,44,18,457.76,83749.77,842.64,1,2,3,6,1,0,3,0,0,1,0,1,6
11377,13,24,32.89,16719.3,584.07,1,1,0,4,2,1,3,0,1,0,1,4,3
11378,36,12,34.66,18954.9,882.6608084906841,0,0,1,5,2,0,0,2,0,1,1,4,0
11379,32,22,182.82,2841.33,949.5594140012004,0,0,0,4,2,2,3,2,1,0,0,1,1
11380,37,12,625.03,45668.48,807.4897070006002,1,0,1,6,2,0,0,2,0,1,0,1,1
11381,42,50,265.76,45187.39,665.42,1,1,2,6,2,2,3,2,0,1,1,2,1
11382,30,50,921.9122248956512,21768.35,552.71,1,0,0,6,0,2,2,1,1,0,1,0,2
11383,39,5,647.44,44830.68,620.0,1,0,0,6,0,2,0,0,0,1,0,1,7
11384,11,12,1259.57,3413.7,470.34435044877154,1,1,5,4,2,1,1,0,0,1,0,1,5
11385,47,5,136.03,17149.51,745.48,1,1,1,4,2,2,3,1,1,0,1,2,1
11390,38,11,535.45,11172.29,730.8,1,0,3,5,2,0,3,0,0,1,0,1,2
11391,55,9,311.44,23667.37,150.86614041073568,1,0,0,6,0,2,1,1,1,0,1,0,2
11392,14,19,1375.440700092888,5038.41,423.0180702053678,0,0,1,4,1,2,2,0,1,0,1,3,7
11393,35,21,30.14,24550.91,695.17,1,0,2,4,2,2,3,2,0,1,1,2,7
11395,25,17,356.33,36751.55,490.4466887837955,1,0,1,6,1,2,3,2,1,0,0,1,7
11398,41,16,-864.0131191943633,29099.18,796.06,0,0,1,6,0,1,3,2,1,0,1,4,7
11399,32,17,126.22,15717.24,510.05,0,2,2,6,2,2,0,1,1,0,0,1,0
11402,38,15,81.09,45482.38,668.06,0,1,5,4,2,0,3,0,0,1,0,1,3
11403,26,13,172.01,27256.55,838.06,1,2,1,5,1,1,3,2,0,1,1,3,4
11404,43,15,39.42,21481.41,617.69,1,2,0,6,1,2,3,2,1,0,0,1,2
11405,56,12,187.94,9513.85,622.36,1,1,0,4,0,0,3,1,0,1,0,1,3
11406,43,21,102.37,31041.17,610.06,1,1,0,4,0,1,3,0,1,0,1,0,7
11407,29,11,1165.2824204131257,6528.61,753.28,1,1,5,6,1,2,2,1,0,1,1,4,3
11408,21,6,592.76,35597.41,714.14,1,2,3,5,2,2,3,2,1,0,0,1,7
11409,28,7,221.07,39035.33,722.23,0,0,2,4,1,2,3,2,1,1,0,1,0
11410,38,17,103.06,5243.8,730.32,0,0,4,5,1,1,0,2,1,0,1,3,7
11411,51,13,34.79,68951.52,1011.324878401182,1,1,5,4,2,2,0,2,0,1,1,3,6
11412,60,13,460.4,40180.21,616.8,1,1,2,6,1,1,1,0,1,0,0,1,2
11413,57,12,473.08,12361.74,689.595,0,0,2,6,1,0,2,1,0,1,1,4,3
11414,13,5,215.04,34890.67,762.39,1,1,3,6,2,1,2,2,1,1,0,1,0
11415,59,12,119.37,3800.94,1009.3377134921872,0,1,2,5,0,0,3,2,0,1,1,2,3
11416,25,14,146.36,26659.21,508.92,0,2,0,5,2,2,3,0,0,1,1,2,2
11418,32,13,518.9,30593.03,646.54,0,1,5,5,2,1,1,1,1,0,0,1,0
11420,43,23,52.5,25360.7,627.94,0,1,1,6,1,2,2,2,0,1,0,1,0
11421,30,6,-482.8761610596726,44044.03,637.38,0,1,2,5,2,1,3,0,0,1,1,2,1
11422,18,8,32.19,25893.03,614.06,1,0,1,4,1,2,2,1,0,1,1,0,0
11423,62,23,101.14,16561.98,590.74,0,0,0,4,0,2,3,0,0,1,0,1,2
11424,26,16,128.81,45597.41,638.01,0,1,2,6,1,2,2,2,0,1,1,0,7
11425,33,9,663.69,31984.93,546.13,1,1,2,5,2,2,3,0,0,1,0,1,2
11426,60,15,75.77,45524.71,906.4173920951648,1,0,0,6,1,0,2,0,1,0,0,1,0
11427,58,17,33.95,48413.82,714.55,0,2,1,5,1,2,3,2,1,0,0,1,2
11428,17,15,30.01,46119.32,686.47,0,2,0,5,1,2,3,0,0,1,0,1,2
11429,64,20,1204.8144735778317,65217.43,839.8,0,0,3,5,1,1,0,1,1,0,1,0,6
11430,33,3,34.23,29378.98,682.83,1,0,5,5,0,2,2,1,0,1,1,0,3
11431,33,15,196.07,45810.96,715.6600000000001,0,0,0,4,0,0,3,0,1,0,0,1,3
11432,31,16,113.21,12700.58,748.49,1,1,3,4,2,1,2,2,0,1,1,2,3
11433,29,18,222.34,12112.08,726.165,0,1,0,5,1,1,1,2,0,1,1,3,0
11434,39,7,74.73,25794.14,703.84,0,1,0,6,1,2,2,0,1,0,0,1,3
11435,36,19,-703.9260804640785,49782.5,731.15,1,2,3,6,2,2,2,2,0,1,1,3,2
11436,43,23,251.26,19606.81,518.66,1,0,0,6,1,0,3,1,1,0,1,2,0
11437,25,13,-975.1220299320312,34423.61,950.1025524986484,1,2,0,6,2,0,2,1,1,0,1,4,0
11438,24,16,292.55,50425.52,755.55,0,0,4,5,2,2,3,0,1,1,0,1,6
11439,46,19,269.48,9867.82,630.11,1,1,2,5,2,1,2,2,0,1,0,1,3
11440,24,20,157.37,24410.79,747.53,1,2,4,4,2,2,3,1,1,0,1,3,3
11441,15,15,371.23,47818.44,610.09,0,2,0,6,2,0,3,0,1,1,1,3,2
11443,18,12,33.91,41115.43,70.036918343862,1,0,2,6,2,0,2,1,1,0,0,1,1
11444,44,7,276.73,28071.4,397.9862217461898,1,1,1,6,2,1,0,0,1,0,0,1,6
11445,43,12,83.38,40841.64,649.54,0,0,1,5,0,2,2,2,0,1,1,4,1
11446,21,24,141.7,4140.53,1463.298988898795,1,1,1,4,0,2,0,1,0,1,0,1,0
11447,32,18,599.96,13188.87,726.97,1,0,3,5,2,0,3,1,1,0,0,1,1
11448,60,4,1072.32,1668.92,853.5568825086086,1,0,1,4,2,1,1,2,1,1,0,1,2
11449,30,11,90.49,31033.04,980.1437650172172,0,1,2,5,1,2,2,1,1,0,0,1,7
11450,62,11,533.66,1149.6,655.72,0,2,5,4,0,0,2,2,1,0,0,1,7
11451,34,11,1166.370134799898,16694.22,618.05,1,0,2,5,1,0,0,0,0,1,0,1,0
11452,27,5,105.31,10192.82,771.01,1,1,1,4,1,2,3,1,1,0,1,4,3
11453,59,7,613.46,20665.87,711.59,1,0,3,4,0,0,3,1,0,1,1,3,6
11454,42,10,579.59,23869.54,778.49,0,1,1,5,2,0,1,1,1,1,0,1,1
11455,61,6,176.59,3991.15,564.98,0,1,2,6,2,0,2,2,1,0,1,0,3
11457,61,21,165.74,48824.05,143.76812993240128,0,1,1,5,1,1,3,0,1,0,1,4,3
11458,39,14,158.06,41374.77,1139.2730514519349,1,0,1,6,1,2,3,1,0,1,0,1,7
11459,49,7,190.31,26614.27,568.81,1,0,2,6,1,0,0,2,1,0,1,4,0
11460,36,14,1348.11,34930.89,598.9,0,1,0,6,0,0,3,2,0,1,0,1,7
11461,47,8,33.64,16429.79,674.72,1,1,2,6,2,0,2,1,1,0,0,1,0
11462,28,12,146.38,7916.46,679.53,0,0,1,5,0,0,3,0,0,1,1,2,2
11463,61,12,223.42,79873.92,780.2,0,1,3,5,1,1,2,0,1,1,0,1,8
11464,51,11,56.97,9049.17,715.86,1,1,1,4,1,1,3,0,1,0,1,2,4
11465,27,8,682.52,59000.87,739.8,0,2,4,6,2,0,1,2,1,1,0,1,5
11466,60,14,117.05,22621.99,795.06,0,0,5,5,1,2,2,1,1,0,0,1,1
11468,34,24,31.64,18503.39,731.53,0,0,5,5,0,1,0,0,0,1,0,1,6
11469,56,20,48.6,47182.44,715.155,0,1,0,5,2,1,3,1,1,0,1,2,0
11470,44,50,111.26,26821.38,698.78,0,2,2,4,1,1,3,2,0,1,0,1,2
11471,21,6,65.25,33417.55,682.65,0,1,1,5,1,2,2,0,0,1,1,0,1
11472,28,17,325.32,68100.54,794.18,1,2,3,4,1,2,1,0,1,0,1,0,5
11473,64,17,128.7,34795.36,688.0,0,1,2,5,2,0,2,0,1,0,1,0,0
11475,49,7,31.13,892.89,677.76,0,1,2,4,2,1,3,2,0,1,0,1,7
11476,54,13,193.55,29664.79,736.8,1,2,3,4,1,0,0,0,0,1,0,1,4
11477,25,16,205.66,25791.42,731.62,0,0,5,4,2,0,2,1,1,0,0,1,1
11478,19,11,194.11,5398.09,722.33,1,0,3,6,1,1,2,1,0,1,1,2,2
11479,16,50,147.44,70572.0,531.2626799411361,1,0,4,5,2,1,0,0,1,0,0,1,5
11480,19,21,33.31,31875.89,708.78,1,2,0,4,2,0,2,0,0,1,1,0,2
11481,20,17,37.04,26652.41,628.07,0,0,2,6,2,1,3,0,1,0,0,1,1
